"country_code","importance","name","description","unit_of_value"
"AU","H","豪準備銀行(中央銀行)政策金利発表",,"％"
"AU","H","四半期国内総生産(GDP)(前期比)",,"％"
"AU","H","四半期国内総生産(GDP)(前年同期比)",,"％"
"AU","M","豪準備銀行(中央銀行)金融政策会合議事要旨公表",,
"AU","M","豪準備銀行(中央銀行)四半期金融政策報告",,
"AU","M","四半期卸売物価指数(PPI)(前期比)",,"％"
"AU","M","四半期卸売物価指数(PPI)(前年同期比)",,"％"
"AU","M","四半期住宅価格指数(前期比)",,"％"
"AU","M","四半期住宅価格指数(前年同期比)",,"％"
"AU","M","四半期消費者物価(CPI)(前期比)",,"％"
"AU","M","四半期消費者物価(CPI)(前年同期比)",,"％"
"AU","M","四半期賃金指数(前期比)",,"％"
"AU","M","失業率",,"％"
"AU","M","住宅建設許可件数(前月比)",,"％"
"AU","M","小売売上高(前月比)",,"％"
"AU","M","消費者物価指数(CPI)(前年同月比)",,"％"
"AU","M","新規雇用者数",,"万人"
"BR","H","ブラジル中央銀行政策金利",,"％"
"BR","H","四半期国内総生産(GDP)(前期比)",,"％"
"BR","H","四半期国内総生産(GDP)(前年同期比)",,"％"
"BR","M","IBGE消費者物価指数(IPCA)(前年同月比)",,"％"
"BR","M","小売売上高(前年同月比)",,"％"
"BR","M","貿易収支",,"億ドル"
"CA","H","カナダ銀行政策金利",,"％"
"CA","H","月次国内総生産(GDP)(前月比)",,"％"
"CA","H","月次国内総生産(GDP)(前年同月比)",,"％"
"CA","H","四半期国内総生産(GDP)(前期比年率)",,"％"
"CA","H","失業率",,"％"
"CA","H","新規雇用者数",,"万人"
"CA","M","小売売上高(除自動車)(前月比)",,"％"
"CA","M","小売売上高(前月比)",,"％"
"CA","M","消費者物価指数(CPI)(前月比)",,"％"
"CA","M","消費者物価指数(CPI)(前年同月比)",,"％"
"CH","H","スイス国立銀行3カ月物銀行間取引金利誘導目標中心値",,"％"
"CH","H","スイス国立銀行政策金利",,"％"
"CH","M","四半期国内総生産(GDP)(前期比)",,"％"
"CH","M","四半期国内総生産(GDP)(前年同期比)",,"％"
"CH","M","消費者物価指数(CPI)(前月比)",,"％"
"CN","H","四半期国内総生産(GDP)(前期比)",,"％"
"CN","H","四半期国内総生産(GDP)(前年同期比)",,"％"
"CN","M","Caixinサービス部門購買担当者景気指数(PMI)",,
"CN","M","Caixin製造業購買担当者景気指数(PMI)",,
"CN","M","鉱工業生産(前年同月比)",,"％"
"CN","M","小売売上高(前年同月比)",,"％"
"CN","M","消費者物価指数(CPI)(前年同月比)",,"％"
"CN","M","生産者物価指数(PPI)(前年同月比)",,"％"
"CN","M","製造業購買担当者景気指数(PMI)",,
"CN","M","貿易収支(人民元)",,"億元"
"CN","M","貿易収支(米ドル)",,"億ドル"
"DE","H","国内総生産(GDP改定値)(前期比)",,"％"
"DE","H","国内総生産(GDP改定値)(前年同期比)",,"％"
"DE","H","国内総生産(GDP改定値季調前)(前年同期比)",,"％"
"DE","H","国内総生産(GDP速報値)(前期比)",,"％"
"DE","H","国内総生産(GDP速報値)(前年同期比)",,"％"
"DE","H","国内総生産(GDP速報値季調前)(前年同期比)",,"％"
"DE","M","IFO企業景況感指数",,
"DE","M","ZEW景況感調査(期待指数)",,
"DE","M","サービス部門購買担当者景気指数(PMI改定値)",,
"DE","M","サービス部門購買担当者景気指数(PMI速報値)",,
"DE","M","鉱工業生産(前月比)",,"％"
"DE","M","鉱工業生産(前年同月比)",,"％"
"DE","M","失業者数(前月比)",,"万人"
"DE","M","失業率",,"％"
"DE","M","小売売上高(前月比)",,"％"
"DE","M","小売売上高(前年同月比)",,"％"
"DE","M","消費者物価指数(CPI改定値)(前月比)",,"％"
"DE","M","消費者物価指数(CPI改定値)(前年同月比)",,"％"
"DE","M","消費者物価指数(CPI速報値)(前月比)",,"％"
"DE","M","消費者物価指数(CPI速報値)(前年同月比)",,"％"
"DE","M","製造業購買担当者景気指数(PMI改定値)",,
"DE","M","製造業購買担当者景気指数(PMI速報値)",,
"DE","M","製造業新規受注(前月比)",,"％"
"DE","M","製造業新規受注(前年同月比)",,"％"
"EU","H","ラガルド欧州中央銀行(ECB)総裁定例記者会見",,
"EU","H","欧州中央銀行(ECB)政策金利",,"％"
"EU","H","欧州中央銀行(ECB)理事会議事要旨",,
"EU","H","四半期域内総生産(GDP改定値)(前期比)",,"％"
"EU","H","四半期域内総生産(GDP改定値)(前年同期比)",,"％"
"EU","H","四半期域内総生産(GDP確定値)(前期比)",,"％"
"EU","H","四半期域内総生産(GDP確定値)(前年同期比)",,"％"
"EU","H","四半期域内総生産(GDP速報値)(前期比)",,"％"
"EU","H","四半期域内総生産(GDP速報値)(前年同期比)",,"％"
"EU","H","消費者物価指数(HICPコア指数改定値)(前年同月比)",,"％"
"EU","H","消費者物価指数(HICPコア指数速報値)(前年同月比)",,"％"
"EU","H","消費者物価指数(HICP改定値)(前年同月比)",,"％"
"EU","H","消費者物価指数(HICP速報値)(前年同月比)",,"％"
"EU","M","ZEW景況感調査",,
"EU","M","サービス部門購買担当者景気指数(PMI改定値)",,
"EU","M","サービス部門購買担当者景気指数(PMI速報値)",,
"EU","M","ラガルド欧州中央銀行(ECB)総裁発言",,
"EU","M","卸売物価指数(PPI)(前月比)",,"％"
"EU","M","卸売物価指数(PPI)(前年同月比)",,"％"
"EU","M","経済信頼感",,
"EU","M","鉱工業生産(前月比)",,"％"
"EU","M","鉱工業生産(前年同月比)",,"％"
"EU","M","失業率",,"％"
"EU","M","小売売上高(前月比)",,"％"
"EU","M","小売売上高(前年同月比)",,"％"
"EU","M","消費者信頼感(確定値)",,
"EU","M","消費者信頼感(速報値)",,
"EU","M","製造業購買担当者景気指数(PMI改定値)",,
"EU","M","製造業購買担当者景気指数(PMI速報値)",,
"FR","M","サービス部門購買担当者景気指数(PMI改定値)",,
"FR","M","サービス部門購買担当者景気指数(PMI速報値)",,
"FR","M","国内総生産(GDP改定値)(前期比)",,"％"
"FR","M","国内総生産(GDP速報値)(前期比)",,"％"
"FR","M","製造業購買担当者景気指数(PMI改定値)",,
"FR","M","製造業購買担当者景気指数(PMI速報値)",,
"GB","H","イングランド銀行(BOE英中央銀行)金利発表",,"％"
"GB","H","英中銀金融政策委員会(MPC)議事要旨",,
"GB","H","月次国内総生産(GDP)(前月比)",,"％"
"GB","H","四半期国内総生産(GDP改定値)(前期比)",,"％"
"GB","H","四半期国内総生産(GDP改定値)(前年同期比)",,"％"
"GB","H","四半期国内総生産(GDP速報値)(前期比)",,"％"
"GB","H","四半期国内総生産(GDP速報値)(前年同期比)",,"％"
"GB","M","サービス部門購買担当者景気指数(PMI改定値)",,
"GB","M","サービス部門購買担当者景気指数(PMI速報値)",,
"GB","M","ベイリー英中銀(BOE)総裁発言",,
"GB","M","建設業購買担当者景気指数(PMI)",,
"GB","M","鉱工業生産(前月比)",,"％"
"GB","M","鉱工業生産(前年同月比)",,"％"
"GB","M","失業保険申請件数",,"万件"
"GB","M","失業率",,"％"
"GB","M","失業率(ILO方式)",,"％"
"GB","M","小売売上高(除自動車)(前月比)",,"％"
"GB","M","小売売上高(除自動車)(前年同月比)",,"％"
"GB","M","小売売上高(前月比)",,"％"
"GB","M","小売売上高(前年同月比)",,"％"
"GB","M","消費者物価指数(CPI)(前月比)",,"％"
"GB","M","消費者物価指数(CPI)(前年同月比)",,"％"
"GB","M","消費者物価指数(CPIコア指数)(前年同月比)",,"％"
"GB","M","製造業購買担当者景気指数(PMI改定値)",,
"GB","M","製造業購買担当者景気指数(PMI速報値)",,
"GB","M","製造業生産指数(前月比)",,"％"
"HK","M","四半期域内総生産(GDP確定値)(前期比)",,"％"
"HK","M","四半期域内総生産(GDP確定値)(前年比)",,"％"
"HK","M","四半期域内総生産(GDP速報値)(前期比)",,"％"
"HK","M","四半期域内総生産(GDP速報値)(前年比)",,"％"
"HK","M","消費者物価指数(CPI)(前年比)",,"％"
"IN","H","インド中銀政策金利(レポレート)",,"％"
"IN","H","四半期国内総生産(GDP)(前年同期比)",,"％"
"IN","M","鉱工業生産(前年同月比)",,"％"
"IN","M","消費者物価指数(CPI)(前年同月比)",,"％"
"JP","H","黒田東彦日銀総裁定例記者会見",,
"JP","H","四半期実質国内総生産(GDP改定値)(前期比)",,"％"
"JP","H","四半期実質国内総生産(GDP改定値)(年率換算)",,"％"
"JP","H","四半期実質国内総生産(GDP速報値)(前期比)",,"％"
"JP","H","四半期実質国内総生産(GDP速報値)(年率換算)",,"％"
"JP","H","植田和男日銀総裁定例記者会見",,
"JP","H","全国消費者物価指数(CPI)(前年同月比)",,"％"
